# StartTime = 09-13-2017 09:08:22.8523 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,33.82602,-118.3564,34.17542,0.8320271,1331.25,188,-1.526491,-0.3052982,0,11.40802,45.00747,14.62532,15.47102,41.07488,-7.981077,20.68795,-21.1882,140,0.998997,0,0,0,0,0,0,0.002925083,0.002833803,-22.96588,0
0.984,33.82599,-118.3562,33.55404,1.306089,1431.25,188,-0.5793262,-0.4211634,24.45602,17.90793,65.71493,14.62532,14.28864,25.69047,-8.501263,19.14254,-19.02714,140,0.998997,0,29.5301,0,0,0,0,0.0224984,0.01392356,-19.68504,20.39216
1.981,33.82596,-118.3561,34.17542,1.237486,1408.5,188,1.03678,-0.2138074,23.28579,16.96731,63.2689,14.62532,14.77535,27.6168,-10.80984,22.74255,-18.18461,140,0.998997,0,29.5301,0,0,0,0,0.03785243,0.0226308,-9.84252,19.21569
2.984,33.8259,-118.3559,33.55404,0.5145199,1267,188,-1.821232E-16,-0.4091075,10.80519,7.05464,28.94376,14.62532,13.77782,65.21428,-14.91255,16.25233,-14.46874,140,0.998997,0,29.5301,0,0,0,0,0.05888847,0.03441196,-6.56168,17.2549
3.985,33.82588,-118.3558,34.17542,0.5259537,1164,188,1.302299,-0.1486478,11.97382,7.21141,32.53878,14.62532,14.81732,64.97799,-13.65256,14.80439,-13.74374,140,0.998997,0,29.5301,0,0,0,0,0.07420657,0.04311919,-6.56168,17.2549
4.987,33.82587,-118.3556,32.93267,0.9015093,1310.75,192,0,-0.145097,20.29363,12.36069,49.52871,14.62532,15.33394,36.5306,-12.42524,17.27746,-15.5709,140,0.998997,0,29.5301,0,0,0,0,0.09505143,0.05461847,-6.56168,20.39216
5.982,33.82587,-118.3555,32.3113,1.606006,1364,192,-1.037374,-0.5599279,31.32851,22.02012,91.75413,14.62532,14.42974,20.11905,-5.384943,-5.839731,-19.36635,140,0.998997,0,29.5301,0,0,0,0,0.1100484,0.06274197,-9.84252,21.56863
6.984,33.82586,-118.3553,32.3113,0.9657143,1233.5,192,0,-0.3646278,20.35281,13.24102,56.37885,14.62532,14.34937,33.45845,10.29535,-10.86103,-30.24377,140,0.998997,0,29.5301,0,0,0,0,0.1246566,0.07067671,-13.12336,19.21569
8.001,33.82583,-118.3551,33.55404,1.673729,1332,192,1.848289,-0.4382339,33.4528,22.94868,90.4873,14.62532,15.07675,20.04748,7.49227,-9.619037,-20.02206,140,0.998997,0,29.5301,0,0,0,0,0.1400692,0.07934159,-16.4042,21.56863
8.992,33.82581,-118.355,34.17542,1.563789,1263.25,197,0.9700494,0.3561928,32.47515,21.44128,89.1447,14.62532,14.46412,21.85424,6.996842,-8.07961,-19.4174,140,0.998997,0,29.5301,0,0,0,0,0.154054,0.08737306,-16.4042,21.56863
9.993,33.8258,-118.3548,34.79679,0.909425,1260.75,197,2.128038,0.6190113,19.19309,12.46923,66.36314,14.62532,14.52262,38.26241,7.581633,-9.723321,-20.02364,140,0.998997,0,29.5301,0,0,0,0,0.1772853,0.1005154,-16.4042,18.82353
10.984,33.82578,-118.3546,34.17542,0.8575332,1275,197,-0.8935782,0.6477706,17.89566,11.75773,50.0233,14.62532,14.6021,39.85317,6.890416,-8.689319,-19.31029,140,0.998997,0,29.5301,0,0,0,0,0.19237,0.109134,-13.12336,18.82353
11.977,33.82578,-118.3545,34.17542,0.7071351,1298.25,197,0,0.2781129,14.67646,9.695608,39.2239,14.62532,14.59227,48.3294,6.696502,-6.816997,-18.66035,140,0.998997,0,29.5301,0,0,0,0,0.2070372,0.1175297,-16.4042,18.03922
