# StartTime = 09-18-2017 05:35:35.6632 pm
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,34.0211,-118.2902,15.53428,0.540363,1193.75,68,0,0,0,7.408978,32.5971,14.62532,14.48645,28.74786,-29.7152,35.0065,11.37502,0,0.998997,0,0,0,0,0,0,0.003384783,0.001509445,121.3911,0
0.991,34.02116,-118.2903,15.53428,0.5505803,1170.25,68,0,0,12.28414,7.549067,33.88042,14.62532,15.04817,28.21438,-30.42979,31.67041,11.21026,105.8,0.998997,0,29.5301,0,0,0,0,0.02285572,0.006611846,114.8294,17.64706
1.995,34.02116,-118.2904,16.15565,0.6376529,1164.75,68,-0.8675191,0.2621716,14.49888,8.742929,39.42379,14.62532,15.08925,26.31059,-26.42736,33.54337,10.01694,105.8,0.998997,0,29.5301,0,0,0,0,0.04524226,0.01273391,118.1102,17.64706
2.992,34.0212,-118.2905,14.91291,0.6306167,967.75,68,-2.284131,-0.1946547,16.10545,8.646456,46.92551,14.62532,14.92181,23.64813,-24.2013,-17.632,-2.677153,105.8,0.998997,0,29.5301,0,0,0,0,0.0584852,0.01611627,121.3911,17.64706
3.991,34.02119,-118.2905,13.04879,0.6455686,848.25,68,-1.917471,-0.8290057,19.35625,8.851462,54.80564,14.62532,14.84947,20.21287,-9.073823,-16.91663,-1.702341,105.8,0.998997,0,29.5301,0,0,0,0,0.07878754,0.02068052,124.6719,17.64706
4.992,34.0212,-118.2905,9.941939,0.6183034,1114,73,-5.520089,-1.933023,15.96811,8.477627,39.96899,14.62532,14.63023,16.07939,-13.35882,-16.48361,-0.3467849,105.8,0.998997,0,29.5301,0,0,0,0,0.09235095,0.02309939,124.6719,17.64706
5.988,34.02122,-118.2905,8.077826,0.7431955,805.25,73,-3.151358,-2.99897,18.75924,10.19004,66.46286,14.62532,14.6588,10.86905,-11.90918,-13.58838,-1.936534,105.8,0.998997,0,29.5301,0,0,0,0,0.1066104,0.02508424,124.6719,17.64706
6.987,34.02121,-118.2905,4.97097,1.693078,970.25,73,-3.323752,-3.526818,47.20622,23.21399,63.18948,14.62532,15.21249,2.936054,-16.15695,-11.47422,0.8897846,105.8,0.998997,0,29.5301,0,0,0,0,0.1270485,0.02703634,127.9528,20.39216
7.988,34.02123,-118.2905,4.97097,1.4385,1611.5,73,1.821232E-16,-2.892467,22.4412,19.72344,64.28156,14.62532,13.56081,3.455661,-20.36223,-12.86775,-0.4861679,105.8,0.998997,0,29.5301,0,0,0,0,0.1399759,0.02811848,131.2336,20
8.988,34.02127,-118.2905,7.456454,1.963091,1472.5,77,3.829309,-1.536423,32.60849,26.91616,96.00458,14.62532,16.09749,3.798322,-26.02649,-4.131999,2.926797,107.6,0.998997,0,29.5301,0,0,0,0,0.1566066,0.030032,127.9528,19.60784
9.993,34.02131,-118.2905,11.18468,0.5936769,1150.75,77,4.401058,0.9462966,13.91056,8.139969,43.31585,14.62532,13.06071,18.83968,-25.77368,8.531523,3.805342,107.6,0.998997,0,29.5301,0,0,0,0,0.1770451,0.0334278,124.6719,17.2549
10.989,34.02133,-118.2905,10.56331,1.762561,1443.75,77,-1.046963,1.701381,37.83063,24.16666,87.91415,14.62532,16.30691,5.993162,-20.79635,17.22991,5.317457,107.6,0.998997,0,29.5301,0,0,0,0,0.1913196,0.03595071,124.6719,21.96078
11.989,34.02136,-118.2905,10.56331,1.771356,1502.25,77,7.284928E-16,1.895081,32.28244,24.28726,84.91224,14.62532,14.69587,5.963404,-9.995409,24.11114,2.693266,107.6,0.998997,0,29.5301,0,0,0,0,0.2116738,0.03952896,127.9528,23.13725
12.992,34.0214,-118.2905,13.04879,2.438912,1667,81,4.381125,2.005445,40.1597,33.4402,105.358,14.62532,14.44046,5.350252,-3.079668,23.71667,-0.2605358,107.6,0.998997,0,29.5301,0,0,0,0,0.2256189,0.04243715,121.3911,23.92157
