Time (sec)	 Latitude (deg)	 Longitude (deg)	 Vehicle speed (MPH)	 Fuel rate (gal/hr)	 Engine RPM (RPM)	 Time since engine start (sec)	 Acceleration (ft/s²)	 Acceleration (Avg) (ft/s²)	 Intake manifold absolute pressure (inHg)	 Engine Power (hp)	 Engine Torque (lb•ft)	 A/F Commanded	 A/F Actual	 Instant fuel economy (MPG)	 Magnetometer Z (µT)	 Magnetometer Y (µT)	 Magnetometer X (µT)	 Engine coolant temperature (F)	 Fuel/Air commanded equivalence ratio	 Ambient air temperature (F)	 Barometric pressure (inHg)	 Driver's demand engine - percent torque (%)	 Actual engine - percent torque (%)	 Engine reference torque (lb•ft)	 Mass air flow rate (lb/min)	 Trip Duration (min)	 Trip Distance (miles)	 Altitude (ft)	 Absolute throttle position (%)
0	34.02053	-118.2902	0	0	1232.75	1	0	0	0	0	0	12.61151	0	0	1.919075	2.791786	16.9732	0	0.861442	0	0	0	0	0	0	0.003719383	0	85.30184	0
0.98	34.02053	-118.2902	0	0.8343298	1142	1	0	0	16.30721	11.43959	52.61122	12.82673	14.62353	0	2.960144	2.574449	16.016	114.8	0.876143	0	29.5301	0	0	0	0	0.02222552	0	85.30184	18.03922
1.982	34.02053	-118.2902	0	0.7697729	1064.75	1	0	0	18.02622	10.55444	53.85969	13.1192	14.46412	0	2.85597	2.793132	16.98482	114.8	0.8961205	0	29.5301	0	0	0	0	0.04324257	0	85.30184	18.03922
3.452	34.02053	-118.2902	0	0.7651098	991.25	1	0	0	19.17492	10.49051	55.58368	13.35318	12.93702	0	1.784599	3.411894	16.20321	114.8	0.9121025	0	29.5301	0	0	0	0	0.0666501	0	85.30184	18.03922
3.982	34.02053	-118.2902	0	0.7639062	971	1	0	0	19.66036	10.474	56.65361	13.42462	13.50678	0	3.437207	3.765384	16.45507	114.8	0.9169825	0	29.5301	0	0	0	0	0.07352462	0	85.30184	18.03922
4.982	34.02053	-118.2902	0	0.7425827	998.25	1	0	0	19.25169	10.18163	54.26084	13.54608	14.02832	0	3.158569	3.842899	15.04301	114.8	0.9252785	0	29.5301	0	0	0	0	0.09431361	0	85.30184	18.03922
5.982	34.02053	-118.2902	0	0.6825085	993.75	6	0	0	19.19049	9.357949	53.82446	14.62532	13.9667	0	3.096081	4.441497	13.9525	114.8	0.998997	0	29.5301	0	0	0	0	0.1118811	0	85.30184	18.03922
6.985	34.02053	-118.2902	0	0.6728337	960	6	0	0	19.42673	9.225298	50.47116	14.62532	14.27703	0	4.054384	5.8158	13.18723	114.8	0.998997	0	29.5301	0	0	0	0	0.1197307	0	85.30184	18.03922
8.003	34.02053	-118.2902	0	0.6719542	964	6	0	0	19.54269	9.213239	50.19603	14.62532	14.54405	0	3.313232	5.659274	14.04752	114.8	0.998997	0	29.5301	0	0	0	0	0.141091	0	85.30184	18.03922
8.986	34.02053	-118.2902	0	0.663159	969.5	6	0	0	19.11283	9.092647	49.25798	14.62532	14.58736	0	3.51851	5.187472	13.62434	114.8	0.998997	0	29.5301	0	0	0	0	0.1547319	0	85.30184	18.03922
9.979	34.02053	-118.2902	0	0.6552433	949	6	0	0	19.25712	8.984114	49.72137	14.62532	14.75079	0	3.080117	6.006102	15.30571	114.8	0.998997	0	29.5301	0	0	0	0	0.172184	0	85.30184	18.03922
10.981	34.02053	-118.2902	0	0.6605204	952.25	11	0	0	19.30056	9.056469	49.95075	14.62532	14.64318	0	3.078406	6.422494	14.10543	114.8	0.998997	0	29.5301	0	0	0	0	0.1960026	0	85.30184	18.03922
11.986	34.02053	-118.2902	0	0.6578819	957	11	0	0	19.34993	9.020291	49.50428	14.62532	14.72802	0	2.792783	5.208591	14.88679	114.8	0.998997	0	29.5301	0	0	0	0	0.2095408	0	85.30184	18.03922
12.98	34.02053	-118.2902	0	0.6605204	948.25	11	0	0	19.14539	9.056469	50.16146	14.62532	14.61951	0	3.261562	5.283883	14.0661	114.8	0.998997	0	29.5301	0	0	0	0	0.2291269	0	85.30184	18.03922
13.997	34.02053	-118.2902	0	0.6534843	971.75	11	0	0	18.79038	8.959995	48.42697	14.62532	14.58513	0	2.179991	5.442286	14.66101	114.8	0.998997	0	29.5301	0	0	0	0	0.2451104	0	85.30184	18.03922
14.986	34.02053	-118.2902	0	0.6438096	957	15	0	0	18.79752	8.827344	49.37191	14.62532	14.62442	0	2.431167	5.786911	14.22128	114.8	0.998997	0	29.5301	0	0	0	0	0.2607471	0	85.30184	18.03922
16.009	34.02053	-118.2902	0	0.6455686	955.25	15	0	0	18.88341	8.851462	49.26345	14.62532	14.6588	0	2.798212	6.026451	15.0865	114.8	0.998997	0	29.5301	0	0	0	0	0.2776462	0	85.30184	18.03922
