# StartTime = 09-10-2017 11:05:03.8212 am
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,33.94558,-118.2796,64.00124,3.367002,1995.25,1511,0,0,0,46.16533,121.5214,14.61281,0,19.00838,28.29243,11.01161,-32.96452,0,0.998143,0,0,0,0,0,0,0.00379425,0.007773323,49.2126,0
0.974,33.94584,-118.2796,64.00124,2.407549,2003.75,1511,0,0,33.04354,33.01017,86.52434,14.62532,13.84926,26.58357,23.25066,12.08579,-40.43688,186.8,0.998997,0,29.5301,0,0,0,0,0.02491928,0.03056221,49.2126,27.84314
1.968,33.9461,-118.2796,64.6226,3.557663,2004.5,1511,0.6513094,0.1302619,48.66329,48.77952,127.8102,14.61371,14.65211,18.16434,23.49021,13.16635,-39.45067,186.8,0.998204,0,29.5301,0,0,0,0,0.04441093,0.05153771,49.2126,27.84314
2.974,33.94636,-118.2795,64.00124,3.315586,2017,1511,-1.007208,-0.07117964,45.19477,45.46037,118.3753,14.61773,14.75257,19.30314,22.44444,13.30523,-39.88372,186.8,0.9984785,0,29.5301,0,0,0,0,0.05859463,0.06694426,49.2126,27.45098
4.59,33.94662,-118.2795,65.24397,0.5822431,2003.75,1511,2.259112,0.3806428,7.939414,7.9832,20.9251,14.62532,18.03896,112.0563,21.94044,12.87321,-39.83906,186.8,0.998997,0,29.5301,0,0,0,0,0.08477601,0.09507198,49.2126,17.2549
5.975,33.94715,-118.2794,64.00124,1.375571,2034.25,1517,-0.9802421,0.03516486,18.30189,18.86061,48.69513,14.62532,15.16382,46.52702,23.32794,12.85295,-39.90965,186.8,0.998997,0,29.5301,0,0,0,0,0.1099591,0.1222053,49.2126,20
6.976,33.9474,-118.2794,64.00124,1.996513,1994.5,1517,1.821232E-16,-0.09509703,27.43584,27.37441,22.10183,14.62532,14.70569,32.0565,22.95071,12.38978,-38.92677,186.8,0.998997,0,29.5301,0,0,0,0,0.1274633,0.1407895,45.93176,20.78431
7.975,33.94766,-118.2794,63.37986,3.109107,2103.75,1517,-0.9299329,-0.07964207,40.37189,42.62932,106.4261,14.62532,14.83607,20.38523,22.48555,11.26941,-39.56873,186.8,0.998997,0,29.5301,0,0,0,0,0.1431254,0.1572005,45.93176,25.09804
8.973,33.94792,-118.2794,63.37986,2.915613,1989.75,1517,1.821232E-16,-0.5314645,40.10118,39.97629,105.5208,14.62532,14.73918,21.73809,22.81977,10.95984,-39.68548,186.8,0.998997,0,29.5301,0,0,0,0,0.1584411,0.1734488,45.93176,25.88235
9.972,33.94818,-118.2794,64.00124,3.042264,2004.5,1517,1.04635,-0.1727651,41.59786,41.71282,104.3968,14.62532,14.44448,21.03737,22.74593,11.09879,-39.33615,186.8,0.998997,0,29.5301,0,0,0,0,0.1794247,0.1957977,45.93176,25.88235
