# StartTime = 09-13-2017 04:43:36.0878 pm
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,34.02063,-118.2906,0,1.017606,1270.25,6,0,0,21.60061,13.95251,57.14108,14.62532,14.61371,0,20.86078,-35.33671,-2.493433,91.4,0.998997,0,29.5301,0,0,0,0,0.07343907,0,203.4121,19.60784
0.92,34.02065,-118.2906,0,1.007052,1275,6,0,0,21.29694,13.8078,57.87204,14.62532,14.74186,0,20.42594,-36.15203,-1.853318,91.4,0.998997,0,29.2348,0,0,0,0,0.08768295,0,193.5696,19.21569
1.932,34.02063,-118.2906,0,0.8074005,1160.75,11,0,0,17.06471,11.07036,50.09069,14.62532,13.43936,0,20.8435,-36.09499,-3.469838,91.4,0.998997,0,29.5301,0,0,0,0,0.1012586,0,209.9738,18.43137
2.921,34.02063,-118.2906,0,0.7950872,835.75,11,0,0,25.73619,10.90153,69.34222,14.62532,15.38887,0,21.2627,-34.57745,-1.628516,91.4,0.998997,0,29.5301,0,0,0,0,0.1220146,0,206.6929,18.43137
3.919,34.02065,-118.2906,0,0.7950872,848.25,11,0,0,25.6136,10.90153,67.49905,14.62532,14.52083,0,23.18613,-34.85082,1.321211,91.4,0.998997,0,29.5301,0,0,0,0,0.1359177,0,196.8504,18.43137
4.929,34.02067,-118.2906,0,0.8021234,846,11,0,0,25.67212,10.998,68.27749,14.62532,14.62353,0,24.23855,-36.04564,4.686526,91.4,0.998997,0,29.5301,0,0,0,0,0.1527407,0,187.0079,18.43137
5.933,34.02071,-118.2906,0,0.7950872,849,16,0,0,25.40185,10.90153,67.43941,14.62532,14.74766,0,25.31229,-40.85113,4.859094,95,0.998997,0,29.5301,0,0,0,0,0.1686659,0,147.6378,18.43137
6.934,34.02072,-118.2906,2.485485,0.7827739,850.75,16,4.277905,0.8555811,24.89088,10.7327,65.66284,14.62532,14.6664,3.175227,23.65891,-42.30014,3.265261,95,0.998997,0,29.5301,0,0,0,0,0.1890511,0.0005769664,157.4803,18.43137
7.936,34.02072,-118.2906,3.106856,0.767822,843.75,16,1.36134,1.127849,25.0409,10.52769,65.53201,14.62532,14.55119,4.046323,23.32844,-46.07889,0.05960901,95,0.998997,0,29.5301,0,0,0,0,0.2033484,0.001160012,167.3228,18.43137
8.934,34.02073,-118.2906,1.864114,0.7783763,835,16,-2.321954,0.6634583,25.05288,10.6724,67.12895,14.62532,14.64094,2.394875,21.41671,-47.18975,-2.352409,95,0.998997,0,29.5301,0,0,0,0,0.2166522,0.001640739,157.4803,18.43137
9.93,34.02074,-118.2906,1.864114,0.7818944,838.25,20,5.463696E-16,0.6634583,25.23367,10.72064,66.79312,14.62532,14.68694,2.384099,21.66505,-47.37,-6.057353,95,0.998997,0,29.5301,0,0,0,0,0.2387419,0.002326421,154.1995,18.43137
10.925,34.02074,-118.2906,1.864114,0.7730992,888.25,20,5.463696E-16,-0.1921227,24.94982,10.60005,62.67678,14.62532,14.63514,2.411222,22.24468,-50.56119,-9.322016,95,0.998997,0,29.2348,0,0,0,0,0.2519932,0.002741439,160.7612,18.43137
