# StartTime = 09-19-2017 05:51:37.1637 pm
# FuelCalculationMethod = MassAirFlow
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH), Fuel rate (gal/hr), Engine RPM (RPM), Time since engine start (sec), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Intake manifold absolute pressure (inHg), Engine Power (hp), Engine Torque (lb•ft), A/F Commanded, A/F Actual, Instant fuel economy (MPG), Magnetometer Z (µT), Magnetometer Y (µT), Magnetometer X (µT), Engine coolant temperature (F), Fuel/Air commanded equivalence ratio, Ambient air temperature (F), Barometric pressure (inHg), Driver's demand engine - percent torque (%), Actual engine - percent torque (%), Engine reference torque (lb•ft), Mass air flow rate (lb/min), Trip Duration (min), Trip Distance (miles), Altitude (ft), Absolute throttle position (%)
0,34.02115,-118.2907,0,0.7168098,1100.75,28,0,0,17.61656,9.828259,47.81514,14.62532,14.56861,0,5.979569,-32.01072,-12.31144,102.2,0.998997,0,29.5301,0,0,0,0,0.03243562,0,167.3228,18.03922
0.908,34.02118,-118.2907,0,0.7185689,1089,28,0,0,17.7242,9.852378,47.5168,14.62532,14.65077,0,5.629858,-31.07169,-12.69319,102.2,0.998997,0,29.5301,0,0,0,0,0.04878547,0,150.9186,18.03922
1.93,34.02119,-118.2907,0,0.6869061,1067,28,0,0,17.35057,9.418245,46.3596,14.62532,14.67265,0,6.161668,-31.52005,-11.66923,102.2,0.998997,0,29.5301,0,0,0,0,0.06215893,0,137.7953,18.03922
2.914,34.02119,-118.2907,0,0.6781109,1045.25,28,0,0,17.39642,9.297653,46.71832,14.62532,14.56102,0,7.241309,-32.29863,-11.9937,102.2,0.998997,0,29.5301,0,0,0,0,0.07691498,0,134.5144,18.03922
3.908,34.02119,-118.2907,0,0.6578819,1032,33,0,0,17.24543,9.020291,46.7658,14.62532,14.5637,0,6.270797,-32.66999,-12.60961,102.2,0.998997,0,29.5301,0,0,0,0,0.09775247,0,137.7953,17.64706
4.909,34.02123,-118.2907,0,0.6508457,996,33,0,0,17.49758,8.923818,47.05713,14.62532,14.51369,0,6.523437,-32.48246,-12.49308,102.2,0.998997,0,29.5301,0,0,0,0,0.1119513,0,111.5486,17.64706
5.907,34.02124,-118.2907,0,0.6358939,988.25,33,0,0,17.25855,8.718811,46.33664,14.62532,14.8642,0,7.159416,-31.78024,-11.65448,102.2,0.998997,0,29.5301,0,0,0,0,0.1320208,0,108.2677,17.64706
6.907,34.02124,-118.2907,0,0.6218215,963.25,33,0,0,17.20017,8.525864,46.48721,14.62532,14.7557,0,6.644165,-32.74033,-12.71466,102.2,0.998997,0,29.5301,0,0,0,0,0.1442959,0,111.5486,17.64706
7.914,34.02124,-118.2907,0,0.6332553,935,37,0,0,17.79852,8.682633,48.77238,14.62532,14.72132,0,7.617421,-32.27806,-11.46761,105.8,0.998997,0,29.5301,0,0,0,0,0.1596907,0,114.8294,18.03922
8.916,34.02124,-118.2907,0,0.641171,721,37,0,0,24.05716,8.791166,79.41202,14.62532,14.94056,0,6.740417,-32.28275,-12.29238,105.8,0.998997,0,29.5301,0,0,0,0,0.1804575,0,114.8294,17.64706
9.909,34.02124,-118.2907,0,0.6622795,797.5,37,0,0,22.46552,9.080587,59.2463,14.62532,14.47752,0,6.934866,-31.92064,-11.75453,105.8,0.998997,0,29.5301,0,0,0,0,0.1970095,0,118.1102,18.03922
10.911,34.02124,-118.2907,0,0.6508457,772.5,37,0,0,22.85873,8.923818,60.67172,14.62532,14.57441,0,7.81505,-30.34726,-10.3921,105.8,0.998997,0,29.5301,0,0,0,0,0.2113622,0,114.8294,17.64706
11.924,34.02124,-118.2906,0,0.6376529,763.25,42,0,0,22.62301,8.742929,60.16227,14.62532,14.69408,0,14.83744,-17.39151,-3.454161,105.8,0.998997,0,29.5301,0,0,0,0,0.2274506,0,114.8294,17.64706
12.914,34.02124,-118.2906,0,0.6332553,757,42,0,0,22.51867,8.682633,60.24065,14.62532,14.7682,0,15.89404,-15.62351,-4.011734,105.8,0.998997,0,29.5301,0,0,0,0,0.2459229,0,114.8294,17.64706
13.921,34.02124,-118.2906,0,0.6306167,763.25,42,0,0,22.55828,8.646456,59.49842,14.62532,14.56861,0,27.18419,-20.24232,-6.963706,105.8,0.998997,0,29.5301,0,0,0,0,0.2623672,0,111.5486,17.64706
14.913,34.02124,-118.2906,0,0.6314963,753.75,42,0,0,22.64213,8.658515,60.33234,14.62532,14.63425,0,25.2507,-21.74006,-3.317501,105.8,0.998997,0,29.5301,0,0,0,0,0.2761599,0,114.8294,17.64706
15.912,34.02126,-118.2906,0,0.6314963,760,42,0,0,22.20077,8.658515,59.83619,14.62532,14.52574,0,26.36007,-24.52431,-2.765024,105.8,0.998997,0,29.5301,0,0,0,0,0.2929606,0,111.5486,17.64706
16.911,34.02126,-118.2906,2.485485,0.6306167,769.5,46,4.200078,0.8400156,22.19147,8.646456,59.01516,14.62532,14.53467,3.941355,26.09848,-24.78353,-2.76661,107.6,0.998997,0,29.5301,0,0,0,0,0.307705,0.0002996152,111.5486,17.64706
17.909,34.02125,-118.2906,1.864114,0.6068696,754.5,46,-1.031851,0.6336454,21.75915,8.320857,58.42558,14.62532,14.58156,3.071687,25.73265,-27.60325,0.09732626,107.6,0.998997,0,29.5301,0,0,0,0,0.3315548,0.001144321,111.5486,17.64706
18.909,34.02125,-118.2906,1.864114,0.6121468,764.75,46,-3.642464E-16,0.6336454,21.65419,8.393212,57.97378,14.62532,14.7499,3.045207,25.86286,-27.71905,-0.1424276,107.6,0.998997,0,29.5301,0,0,0,0,0.3461985,0.00160699,111.5486,17.64706
19.911,34.02125,-118.2906,1.864114,0.6165444,757,46,-3.642464E-16,0.6336454,21.85261,8.453508,58.65097,14.62532,14.65211,3.023486,25.73284,-26.85665,1.604417,107.6,0.998997,0,29.5301,0,0,0,0,0.3609021,0.002065537,111.5486,17.64706
20.917,34.02126,-118.2906,1.864114,0.6121468,748.25,46,-3.642464E-16,0.6336454,21.78953,8.393212,58.9136,14.62532,14.64987,3.045207,19.58729,-19.30059,7.30091,107.6,0.998997,0,29.5301,0,0,0,0,0.3769866,0.002564833,111.5486,17.64706
21.91,34.02125,-118.2906,1.864114,0.6068696,748.25,51,-3.642464E-16,-0.2063702,21.9409,8.320857,58.40572,14.62532,14.61549,3.071687,13.66402,-27.39101,-2.21984,107.6,0.998997,0,29.5301,0,0,0,0,0.3929873,0.003061562,111.5486,17.64706
22.913,34.02126,-118.2906,1.864114,0.6024721,739.75,51,-3.642464E-16,0,21.78191,8.260561,58.64874,14.62532,14.64407,3.094108,19.64702,-15.1361,-6.367745,107.6,0.998997,0,29.5301,0,0,0,0,0.4149567,0.003741862,111.5486,17.64706
23.913,34.02124,-118.2906,0,0.5998335,745.25,51,-2.712807,-0.5425614,21.28123,8.224383,57.96095,14.62532,14.415,0,1.142233,-11.89103,13.016,107.6,0.998997,0,29.5301,0,0,0,0,0.4299969,0.003741862,108.2677,17.64706
24.914,34.02124,-118.2906,0,0.6015925,732,51,-3.642464E-16,-0.5425614,21.83767,8.248502,59.18315,14.62532,14.64898,0,-6.168759,-7.987594,9.044588,107.6,0.998997,0,29.5301,0,0,0,0,0.4490508,0.003741862,111.5486,17.64706
25.914,34.02124,-118.2906,0,0.5936769,740.5,51,-3.642464E-16,-0.5425614,21.68857,8.139969,58.7604,14.62532,14.62532,0,-6.243666,-6.137184,10.05957,107.6,0.998997,0,29.5301,0,0,0,0,0.4634568,0.003741862,111.5486,17.64706
26.914,34.02124,-118.2906,3.728227,0.6024721,761.5,55,5.111063,0.4796514,21.40291,8.260561,56.89043,14.62532,14.61371,6.188216,-11.1217,-3.758289,13.00873,109.4,0.998997,0,29.5301,0,0,0,0,0.4807764,0.00460351,111.5486,17.64706
27.907,34.02125,-118.2906,3.106856,0.5971949,771.75,55,-1.218049,0.2360416,20.80561,8.188206,55.7245,14.62532,14.60612,5.202415,-14.21257,-5.249404,17.3746,109.4,0.998997,0,29.5301,0,0,0,0,0.4933016,0.005313359,111.5486,17.64706
28.907,34.02125,-118.2906,3.106856,0.5963154,764,55,-1.821232E-16,0.7786029,21.11487,8.176147,56.45557,14.62532,14.5695,5.210088,-10.22387,0.8582424,15.62404,109.4,0.998997,0,29.5301,0,0,0,0,0.5138714,0.006383843,114.8294,17.64706
29.908,34.02126,-118.2906,3.106856,0.5866407,753,55,-1.821232E-16,0.7786029,21.31637,8.043495,56.10272,14.62532,14.64094,5.296012,-12.61302,1.084223,17.21817,109.4,0.998997,0,29.5301,0,0,0,0,0.5277211,0.007086774,114.8294,17.64706
30.909,34.02126,-118.2906,2.485485,0.580484,742.75,60,-0.9699897,-0.4376077,21.38711,7.959081,56.28003,14.62532,14.69408,4.281745,-8.435673,4.486501,7.678795,109.4,0.998997,0,29.5301,0,0,0,0,0.5486854,0.008039691,111.5486,17.64706
31.909,34.02127,-118.2906,2.485485,0.5866407,853.75,60,-1.821232E-16,-0.1939979,19.70821,8.043495,49.48211,14.62532,14.61281,4.23681,-12.03045,8.564775,-1.115219,109.4,0.998997,0,29.5301,0,0,0,0,0.562176,0.008603978,114.8294,17.64706
32.917,34.02127,-118.2906,4.349598,0.5936769,886.5,60,0,0.4984296,18.11662,8.139969,48.08276,14.62532,14.5119,7.326542,-14.31959,7.31489,-0.5610321,109.4,0.998997,0,29.5301,0,0,0,0,0.5817646,0.01000556,118.1102,17.64706
33.909,34.02128,-118.2906,4.349598,0.5963154,814,60,0,0.4984296,19.03453,8.176147,52.75436,14.62532,14.46993,7.294124,-27.20378,-1.275467,1.734169,109.4,0.998997,0,29.5301,0,0,0,0,0.5948266,0.01096681,118.1102,17.64706
34.911,34.02128,-118.2906,4.349598,0.5620141,713.25,64,0,0.6924275,20.44213,7.705837,56.74298,14.62532,14.63023,7.739305,-28.00764,-3.173876,0.2124657,113,0.998997,0,29.5301,0,0,0,0,0.6128688,0.0122595,118.1102,17.2549
35.928,34.02128,-118.2906,2.485485,0.5743273,731.25,64,-3.270365,0.03835456,21.16028,7.874666,56.55882,14.62532,14.73784,4.327645,-26.88239,-4.561982,0.2400456,113,0.998997,0,29.5301,0,0,0,0,0.6266865,0.0129049,118.1102,17.2549
36.914,34.02129,-118.2906,1.864114,0.5743273,732,64,-1.078481,-0.8697691,21.34194,7.874666,56.50087,14.62532,14.65568,3.245733,-26.11685,-3.500102,-1.006865,113,0.998997,0,29.5301,0,0,0,0,0.6417856,0.01337885,118.1102,17.64706
37.91,34.02131,-118.2907,1.864114,0.5743273,738.25,64,0,-0.8697691,21.04563,7.874666,55.16461,14.62532,14.65657,3.245733,-26.18253,-2.546695,-1.608026,113,0.998997,0,29.5301,0,0,0,0,0.6638738,0.01406507,114.8294,17.2549
38.921,34.0213,-118.2907,0,0.5681707,732.75,64,-3.092097,-1.488189,20.9763,7.790252,55.83799,14.62532,14.71239,0,-25.30141,-2.101238,-2.211536,113,0.998997,0,29.5301,0,0,0,0,0.6790004,0.01431063,118.1102,17.2549
39.91,34.0213,-118.2907,0,0.5628936,727.25,68,0,-1.061386,20.78147,7.717896,55.73773,14.62532,14.59629,0,-25.83278,-2.269433,-0.9922976,113,0.998997,0,29.5301,0,0,0,0,0.6934741,0.01431063,121.3911,17.2549
40.926,34.0213,-118.2907,0,0.5672912,732,68,0,-0.6184194,20.96529,7.778193,54.68385,14.62532,14.63916,0,-25.751,-2.379027,-1.22092,113,0.998997,0,29.5301,0,0,0,0,0.7146018,0.01431063,121.3911,17.2549
41.908,34.02129,-118.2907,0,0.5620141,727.25,68,0,-0.6184194,21.04336,7.705837,55.65064,14.62532,14.65389,0,-26.36389,-1.962772,-1.849335,113,0.998997,0,29.5301,0,0,0,0,0.7287721,0.01431063,124.6719,17.2549
42.914,34.02129,-118.2907,0,0.5505803,725,68,0,1.456986E-16,20.54416,7.549067,54.6003,14.62532,14.6146,0,-26.95866,-2.206334,-0.8822466,113,0.998997,0,29.5301,0,0,0,0,0.7483296,0.01431063,124.6719,17.2549
43.91,34.02129,-118.2907,0,0.5479417,717,72,0,1.456986E-16,20.36146,7.51289,55.03284,14.62532,14.72042,0,-25.67258,-1.262231,-3.485449,114.8,0.998997,0,29.5301,0,0,0,0,0.7656118,0.01431063,124.6719,17.64706
44.92,34.02129,-118.2907,0,0.5523393,713.25,72,0,1.456986E-16,20.94932,7.573186,55.05579,14.62532,14.74007,0,-27.22277,-1.098363,-5.782364,114.8,0.998997,0,29.5301,0,0,0,0,0.7796578,0.01431063,124.6719,17.2549
45.912,34.02129,-118.2907,0,0.558496,703.75,72,0,1.456986E-16,21.46879,7.6576,56.24898,14.62532,14.62174,0,-30.9561,-4.495018,-11.6811,114.8,0.998997,0,29.5301,0,0,0,0,0.7961152,0.01431063,124.6719,17.2549
46.918,34.02129,-118.2907,2.485485,0.8584127,998.25,72,4.789695,0.9579391,32.42182,11.76979,61.92465,14.62532,14.93967,2.895442,-32.81956,-3.446603,-15.05995,114.8,0.998997,0,29.5301,0,0,0,0,0.8103175,0.01457336,124.6719,18.82353
